,users,intensityNormalized,order,freq,catchingUpRatio,features,probability,prediction
29,Apsirtgirl,0.033333333333333326,1.0,0.7142857142857143,0.2857142857142857,"[0.033333333333333326,1.0,0.7142857142857143,0.2857142857142857]","[1.1043243098148623e-19,0.0002716621912868871,1.1043243082734715e-19,0.9997283378087132]",3
30,benjamin,0.4166666666666667,1.0,0.16666666666666666,0.8333333333333334,"[0.4166666666666667,1.0,0.16666666666666666,0.8333333333333334]","[0.9999999999995749,4.251879128330904e-13,9.668924588264308e-18,9.668924588264308e-18]",0
31,blaz02,0.4166666666666667,1.0,0.16666666666666666,0.8333333333333334,"[0.4166666666666667,1.0,0.16666666666666666,0.8333333333333334]","[0.9999999999995749,4.251879128330904e-13,9.668924588264308e-18,9.668924588264308e-18]",0
32,Bojan1825,0.04166666666666666,1.0,0.6666666666666666,0.3333333333333333,"[0.04166666666666666,1.0,0.6666666666666666,0.3333333333333333]","[1.2365331165647782e-19,0.0011584018727703463,1.2363233221474495e-19,0.9988415981272296]",3
33,BORIS MREVLJE,0.25,1.0,0.0,0.0,"[0.25,1.0,0.0,0.0]","[5.5524083128732807e-08,1.4214466745978787e-14,0.9999999444759026,4.45100694254817e-23]",2
34,Bo��tjan M.,0.013888888888888895,1.0,0.7142857142857143,0.0,"[0.013888888888888895,1.0,0.7142857142857143,0.0]","[2.0962396515875947e-23,2.1114440656416226e-09,0.9999999978878855,6.703612709998387e-13]",2
35,BostjanH,0.1875,0.9166666666666666,0.0,0.0,"[0.1875,0.9166666666666666,0.0,0.0]","[8.59751388601749e-09,8.764564816215808e-11,0.9999999913148404,2.85365160960962e-23]",2
36,Bo��tjanK,0.006944444444444438,1.0,0.6153846153846154,0.0,"[0.006944444444444438,1.0,0.6153846153846154,0.0]","[1.8619607795829688e-23,7.016538498276052e-08,0.9999999297919071,4.270788549370382e-11]",2
37,Branklo,0.027777777777777773,1.0,0.75,0.25,"[0.027777777777777773,1.0,0.75,0.25]","[1.0541670421117178e-19,7.263612940100146e-05,1.0541670421116269e-19,0.999927363870599]",3
38,BrunoB,0.02380952380952382,0.875,0.6666666666666666,0.2222222222222222,"[0.02380952380952382,0.875,0.6666666666666666,0.2222222222222222]","[2.935359109106132e-19,0.003495105925309829,2.9353590230042586e-19,0.9965048940746901]",3
39,Buda,0.16666666666666666,0.4,0.3333333333333333,0.6666666666666666,"[0.16666666666666666,0.4,0.3333333333333333,0.6666666666666666]","[6.794569712419396e-17,1.0,6.794569712419396e-17,6.794569712419396e-17]",1
40,Buki,0.0,1.0,0.8,0.0,"[0.0,1.0,0.8,0.0]","[2.572888875567664e-23,2.1975988327618497e-10,0.9999975675414077,2.4322388323699573e-06]",2
41,chibu79,0.007575757575757569,1.0,0.9166666666666666,0.08333333333333333,"[0.007575757575757569,1.0,0.9166666666666666,0.08333333333333333]","[3.66582378597484e-19,2.0557366101206836e-08,3.66582378597484e-19,0.999999979442634]",3
42,Cromiza,0.14583333333333334,0.8,0.2727272727272727,0.2727272727272727,"[0.14583333333333334,0.8,0.2727272727272727,0.2727272727272727]","[5.725753121909988e-06,0.9999942742468781,2.855337312245956e-17,2.855337312245956e-17]",1
43,cvjetko,0.027777777777777773,1.0,0.6666666666666666,0.25,"[0.027777777777777773,1.0,0.6666666666666666,0.25]","[1.9652582863238993e-19,0.0017566265690121916,1.9652096288009093e-19,0.9982433734309879]",3
44,Dalka,0.0119047619047619,0.5714285714285714,0.5,0.0,"[0.0119047619047619,0.5714285714285714,0.5,0.0]","[6.626211434602271e-23,1.0175635979589279e-06,0.9999989824364021,2.0187375116998724e-19]",2
45,Damir Mulalic,0.16666666666666666,1.0,0.16666666666666666,0.25,"[0.16666666666666666,1.0,0.16666666666666666,0.25]","[0.9711791620052249,0.028820837994775153,6.227381090103926e-18,6.227381090103926e-18]",0
46,damir.juretic,0.0,1.0,1.0,0.0,"[0.0,1.0,1.0,0.0]","[5.732967292717954e-23,2.7016070095039547e-15,0.9999971574452555,2.842554741830368e-06]",2
47,Danilo4783,0.2222222222222222,1.0,0.09090909090909093,0.2727272727272727,"[0.2222222222222222,1.0,0.09090909090909093,0.2727272727272727]","[0.9989606584622743,0.0010393415377256616,1.5718314578766283e-17,1.5718314578766283e-17]",0
48,Dario,0.16666666666666666,1.0,0.2222222222222222,0.1111111111111111,"[0.16666666666666666,1.0,0.2222222222222222,0.1111111111111111]","[0.9905019226005828,0.009498077399417134,5.3348341580685854e-17,5.3348341580685854e-17]",0
49,DarioR,0.11111111111111112,1.0,0.14285714285714285,0.14285714285714285,"[0.11111111111111112,1.0,0.14285714285714285,0.14285714285714285]","[0.918126133189804,0.08187386681019602,9.645341689476946e-18,9.645341689476946e-18]",0
50,Darko Babic,0.025000000000000005,1.0,0.6923076923076923,0.15384615384615385,"[0.025000000000000005,1.0,0.6923076923076923,0.15384615384615385]","[2.4302273809925332e-18,0.004261477708567944,2.430227373345111e-18,0.995738522291432]",3
51,Dejan Adamic,0.025000000000000005,0.5833333333333334,0.6153846153846154,0.15384615384615385,"[0.025000000000000005,0.5833333333333334,0.6153846153846154,0.15384615384615385]","[8.785836756440869e-17,0.9999961242077543,8.785836756440869e-17,3.8757922456919505e-06]",1
52,DejanJ,0.006944444444444438,0.9166666666666666,0.8461538461538461,0.07692307692307693,"[0.006944444444444438,0.9166666666666666,0.8461538461538461,0.07692307692307693]","[2.4235507256883685e-19,8.845089371920771e-07,2.4235507256883685e-19,0.9999991154910628]",3
53,delimir,0.2222222222222222,0.8,0.0,0.0,"[0.2222222222222222,0.8,0.0,0.0]","[1.2185858219500683e-12,1.5754999139415618e-12,0.9999999999972059,2.4453612945402164e-23]",2
54,demirel,0.25,0.6666666666666666,0.25,0.75,"[0.25,0.6666666666666666,0.25,0.75]","[1.0598407135942907e-12,0.9999999999989393,4.1735557379627926e-16,4.1735557379627926e-16]",1
55,Deni Oreb,0.8333333333333334,1.0,0.09090909090909093,0.9090909090909091,"[0.8333333333333334,1.0,0.09090909090909093,0.9090909090909091]","[0.9999999999999978,7.225111460261568e-16,7.225111460261568e-16,7.225111460261568e-16]",0
56,Dimen,0.05555555555555556,0.75,0.4,0.2,"[0.05555555555555556,0.75,0.4,0.2]","[8.62159625548141e-14,0.9999999999999137,5.660753594066693e-18,5.872886946606064e-18]",1
57,dkervina,0.08333333333333333,1.0,0.5,0.5,"[0.08333333333333333,1.0,0.5,0.5]","[3.2152439238222153e-08,0.9998939629756406,1.3608277768303872e-17,0.00010600487192012544]",1
58,dmeic,0.13333333333333333,0.8333333333333334,0.3076923076923077,0.46153846153846156,"[0.13333333333333333,0.8333333333333334,0.3076923076923077,0.46153846153846156]","[3.909384053219484e-05,0.9999609061594678,5.748175825101044e-18,5.748175825101044e-18]",1
59,Domen S,0.0,1.0,0.9166666666666666,0.0,"[0.0,1.0,0.9166666666666666,0.0]","[3.8686147905297615e-23,5.44859301603056e-13,0.9999918063004014,8.193699053634262e-06]",2
60,Dorsi,0.125,1.0,0.4,0.6,"[0.125,1.0,0.4,0.6]","[0.0013318407098549632,0.9986681592901451,1.5054825388640614e-17,1.5054825388640614e-17]",1
61,dragana,0.11111111111111112,0.5,0.42857142857142855,0.5714285714285714,"[0.11111111111111112,0.5,0.42857142857142855,0.5714285714285714]","[2.0627876558062965e-17,1.0,2.0627876558062965e-17,2.0627876558062965e-17]",1
62,Dra��en,0.04166666666666666,0.875,0.5555555555555556,0.0,"[0.04166666666666666,0.875,0.5555555555555556,0.0]","[1.5673626560820758e-23,4.554030380047482e-08,0.9999999544596961,1.5197615185573127e-23]",2
63,Dra��en Kralj,0.25,0.9090909090909092,0.0,0.0,"[0.25,0.9090909090909092,0.0,0.0]","[7.997314138617115e-09,1.630923137551825e-14,0.9999999920026695,3.070132168273588e-23]",2
64,drejc,0.03125,0.7,0.18181818181818185,0.09090909090909091,"[0.03125,0.7,0.18181818181818185,0.09090909090909091]","[3.9857446090534444e-10,0.9999999996014245,5.181896377090135e-16,5.184953471036639e-16]",1
65,Du��i,0.13888888888888887,1.0,0.125,0.0,"[0.13888888888888887,1.0,0.125,0.0]","[9.975961020737533e-07,6.1583704593915095e-09,0.9999989962455275,2.6423881800466633e-23]",2
66,Edvard,0.010416666666666666,1.0,0.7777777777777778,0.1111111111111111,"[0.010416666666666666,1.0,0.7777777777777778,0.1111111111111111]","[2.0650008507570412e-19,2.0208997366347453e-05,2.0650008507570412e-19,0.9999797910026337]",3
67,Efa i Neno,0.052083333333333336,0.75,0.38461538461538464,0.38461538461538464,"[0.052083333333333336,0.75,0.38461538461538464,0.38461538461538464]","[1.617316569682246e-11,0.9615104966520505,1.2327545246045594e-17,0.03848950333177643]",1
68,Elena Nikolovska,0.25,1.0,0.125,0.5,"[0.25,1.0,0.125,0.5]","[0.9979143591110186,0.002085640888981482,9.107771491150895e-18,9.107771491150895e-18]",0
69,Ferijan Perkovic,0.04166666666666666,0.875,0.5555555555555556,0.3333333333333333,"[0.04166666666666666,0.875,0.5555555555555556,0.3333333333333333]","[2.647002500202739e-16,0.03938926328619568,4.0717295933295753e-19,0.9606107367138041]",3
70,filip mestrovic,0.033333333333333326,1.0,0.7142857142857143,0.2857142857142857,"[0.033333333333333326,1.0,0.7142857142857143,0.2857142857142857]","[1.1043243098148623e-19,0.0002716621912868871,1.1043243082734715e-19,0.9997283378087132]",3
71,Gasper,0.0625,0.6666666666666666,0.42857142857142855,0.14285714285714285,"[0.0625,0.6666666666666666,0.42857142857142855,0.14285714285714285]","[1.2543352762038726e-17,1.0,1.2542907225148393e-17,1.2542907225148393e-17]",1
72,gcampa,0.04166666666666666,1.0,0.4166666666666667,0.25,"[0.04166666666666666,1.0,0.4166666666666667,0.25]","[1.659459245242309e-05,0.9974944761189415,8.865653310421367e-18,0.0024889292886060652]",1
73,GITA MARINKOVIC,0.25,0.6666666666666666,0.25,0.75,"[0.25,0.6666666666666666,0.25,0.75]","[1.0598407135942907e-12,0.9999999999989393,4.1735557379627926e-16,4.1735557379627926e-16]",1
74,Goran Cacic,0.08333333333333333,1.0,0.08333333333333333,0.16666666666666666,"[0.08333333333333333,1.0,0.08333333333333333,0.16666666666666666]","[0.9280627461254504,0.07193725387454951,5.837718231416687e-17,5.837718231416687e-17]",0
75,Goran ��urica,0.0972222222222222,0.9166666666666666,0.3076923076923077,0.0,"[0.0972222222222222,0.9166666666666666,0.3076923076923077,0.0]","[1.9205200642382202e-10,5.730284064887096e-08,0.9999999425051074,1.484774533493048e-23]",2
76,Gordan,0.1875,0.9166666666666666,0.07692307692307693,0.0,"[0.1875,0.9166666666666666,0.07692307692307693,0.0]","[9.618969418828251e-08,7.023053003781516e-11,0.9999999037400753,2.2420107927110867e-23]",2
77,Gordana Genc,0.010416666666666666,1.0,0.8888888888888888,0.1111111111111111,"[0.010416666666666666,1.0,0.8888888888888888,0.1111111111111111]","[1.9575488318974797e-19,8.070991797638976e-08,1.9575488318974797e-19,0.999999919290082]",3
78,gpet,0.016666666666666663,0.9090909090909092,0.8333333333333334,0.16666666666666666,"[0.016666666666666663,0.9090909090909092,0.8333333333333334,0.16666666666666666]","[1.6792217961698326e-19,3.044976520256303e-06,1.6792217961698326e-19,0.9999969550234797]",3
79,Gregor Primc,0.016666666666666663,1.0,0.4166666666666667,0.08333333333333333,"[0.016666666666666663,1.0,0.4166666666666667,0.08333333333333333]","[2.9945094784975676e-06,0.9999969400117799,1.7193404895889403e-17,6.547874168418605e-08]",1
80,greta,0.0625,0.6666666666666666,0.2857142857142857,0.42857142857142855,"[0.0625,0.6666666666666666,0.2857142857142857,0.42857142857142855]","[4.838886972264928e-14,0.9997425207914064,9.003078134885853e-17,0.0002574792085449415]",1
81,Grozdana Sirotic,0.027777777777777773,1.0,0.5,0.0,"[0.027777777777777773,1.0,0.5,0.0]","[4.223706346599315e-18,2.4778108044564813e-07,0.9999997522189196,1.7361930103520392e-23]",2
82,Grup amor,0.04166666666666666,0.875,0.1111111111111111,0.0,"[0.04166666666666666,0.875,0.1111111111111111,0.0]","[2.5925421554451363e-08,2.0092419584492326e-08,0.9999999539821588,3.476432800641041e-23]",2
83,HanaP,0.05555555555555556,1.0,0.0,0.0,"[0.05555555555555556,1.0,0.0,0.0]","[1.2363986749438239e-08,1.0133003754369417e-09,0.9999999866227129,7.411710680160968e-23]",2
84,Hrvoje Juvancic,0.06666666666666668,1.0,0.5555555555555556,0.4444444444444444,"[0.06666666666666668,1.0,0.5555555555555556,0.4444444444444444]","[2.67159297824648e-12,0.23805858017248963,4.412529960966687e-18,0.7619414198248388]",3
85,Igor ��utic,0.006944444444444438,1.0,0.8461538461538461,0.0,"[0.006944444444444438,1.0,0.8461538461538461,0.0]","[2.987739513584724e-23,1.160331563453855e-11,0.99999997510059,2.4887806730039197e-08]",2
86,Igor ��afran,0.006944444444444438,0.75,0.7692307692307693,0.0,"[0.006944444444444438,0.75,0.7692307692307693,0.0]","[3.4944390954346486e-23,9.326128363082342e-10,0.9999999987391578,3.2822932213817915e-10]",2
87,Igor29,0.16666666666666666,1.0,0.3333333333333333,0.6666666666666666,"[0.16666666666666666,1.0,0.3333333333333333,0.6666666666666666]","[0.13816994584948078,0.8618300541505192,2.461715506852148e-17,2.461715506852148e-17]",1
88,IgorGancevic,0.13888888888888887,0.8571428571428571,0.125,0.25,"[0.13888888888888887,0.8571428571428571,0.125,0.25]","[0.04404791407754891,0.9559520859224511,5.831866651585958e-17,5.831866651585958e-17]",1
89,igorr,0.16666666666666666,1.0,0.2222222222222222,0.1111111111111111,"[0.16666666666666666,1.0,0.2222222222222222,0.1111111111111111]","[0.9905019226005828,0.009498077399417134,5.3348341580685854e-17,5.3348341580685854e-17]",0
90,iivana,0.0625,0.8333333333333334,0.2857142857142857,0.14285714285714285,"[0.0625,0.8333333333333334,0.2857142857142857,0.14285714285714285]","[2.9154845069881364e-05,0.9999708451549301,1.228123681907512e-17,1.228123681907512e-17]",1
91,Ina,0.0,1.0,0.9,0.0,"[0.0,1.0,0.9,0.0]","[3.6126061251954915e-23,1.4219012475076205e-12,0.999991648192313,8.351806265116776e-06]",2
92,Ines,0.5833333333333334,1.0,0.125,0.875,"[0.5833333333333334,1.0,0.125,0.875]","[1.0,2.0139009577640607e-17,2.0139009577640607e-17,2.0139009577640607e-17]",0
93,Ivan Odrljin,0.015151515151515155,0.9166666666666666,0.6923076923076923,0.07692307692307693,"[0.015151515151515155,0.9166666666666666,0.6923076923076923,0.07692307692307693]","[2.4438546223884765e-17,0.031156577375858252,2.4438546223591857e-17,0.9688434226241417]",3
94,Ivana PR,0.0,1.0,1.0,0.0,"[0.0,1.0,1.0,0.0]","[5.732967292717954e-23,2.7016070095039547e-15,0.9999971574452555,2.842554741830368e-06]",2
95,IvanV,0.16666666666666666,0.8,0.3333333333333333,0.3333333333333333,"[0.16666666666666666,0.8,0.3333333333333333,0.3333333333333333]","[5.72385551205017e-07,0.9999994276144487,1.0674607551978956e-16,1.0674607551978956e-16]",1
96,Ivica Komljenovic,0.4583333333333333,0.9166666666666666,0.15384615384615385,0.8461538461538461,"[0.4583333333333333,0.9166666666666666,0.15384615384615385,0.8461538461538461]","[0.9999999999999999,1.3052165228021642e-16,3.4642962369921425e-17,3.4642962369921425e-17]",0
97,Iztok3,0.125,1.0,0.2,0.4,"[0.125,1.0,0.2,0.4]","[0.7908890226745442,0.2091109773254557,5.099364511849451e-18,5.099364511849451e-18]",0
98,jadralec Jaro,0.0119047619047619,0.7142857142857143,0.625,0.125,"[0.0119047619047619,0.7142857142857143,0.625,0.125]","[5.3456671501094604e-17,0.8964242168526607,5.345667150109433e-17,0.10357578314733906]",1
99,Jadran,0.016666666666666663,1.0,0.8333333333333334,0.16666666666666666,"[0.016666666666666663,1.0,0.8333333333333334,0.16666666666666666]","[1.0988891950797895e-19,1.4486180816404287e-06,1.0988891950797895e-19,0.9999985513819183]",3
100,Janez  stupica,0.027777777777777773,0.8571428571428571,0.625,0.0,"[0.027777777777777773,0.8571428571428571,0.625,0.0]","[1.724032212750961e-23,2.0109608593500045e-08,0.9999999798903915,1.7260201510323393e-23]",2
101,Jani Pristavec,0.006944444444444438,1.0,0.6923076923076923,0.07692307692307693,"[0.006944444444444438,1.0,0.6923076923076923,0.07692307692307693]","[5.610493348563956e-18,0.008666041315047635,5.610493345915052e-18,0.9913339586849523]",3
102,Jaro��,0.016666666666666663,0.8,0.5,0.0,"[0.016666666666666663,0.8,0.5,0.0]","[2.8730637004696374e-23,5.437514019047554e-07,0.9999994562485981,5.7441840524331214e-18]",2
103,Jasminka,0.033333333333333326,0.8333333333333334,0.5714285714285714,0.2857142857142857,"[0.033333333333333326,0.8333333333333334,0.5714285714285714,0.2857142857142857]","[1.8934361750397146e-18,0.11556854950778658,1.3956874183150155e-18,0.8844314504922134]",3
104,jelena,0.00833333333333334,1.0,0.9090909090909092,0.09090909090909091,"[0.00833333333333334,1.0,0.9090909090909092,0.09090909090909091]","[3.003600661205472e-19,2.9541743658769768e-08,3.003600661205472e-19,0.9999999704582563]",3
105,Jelena-Marija,0.14583333333333334,0.8,0.2727272727272727,0.6363636363636364,"[0.14583333333333334,0.8,0.2727272727272727,0.6363636363636364]","[2.213987611563484e-05,0.9999778601238843,1.8295267899776e-17,1.8295267899776e-17]",1
106,Jelena Cutura,0.02083333333333333,1.0,0.6,0.2,"[0.02083333333333333,1.0,0.6,0.2]","[2.3290302381646736e-17,0.12724414300115863,4.12749011062798e-18,0.8727558569988413]",3
107,jerko,0.08333333333333333,0.9090909090909092,0.5,0.5,"[0.08333333333333333,0.9090909090909092,0.5,0.5]","[1.6737358708554492e-09,0.9999749073862763,9.679705863741139e-18,2.5090939987760442e-05]",1
108,Jerko. Marinkovic,0.04166666666666666,0.9090909090909092,0.6666666666666666,0.3333333333333333,"[0.04166666666666666,0.9090909090909092,0.6666666666666666,0.3333333333333333]","[1.8128221806322876e-19,0.002337281008954916,1.8128112510543038e-19,0.9976627189910451]",3
109,Josip Rabanasic,0.0625,0.8333333333333334,0.42857142857142855,0.42857142857142855,"[0.0625,0.8333333333333334,0.42857142857142855,0.42857142857142855]","[4.513360798112865e-09,0.5645610450047894,4.364351916369436e-18,0.4354389504818498]",1
110,josko52@gmail.com,0.20833333333333331,0.8333333333333334,0.14285714285714285,0.7142857142857143,"[0.20833333333333331,0.8333333333333334,0.14285714285714285,0.7142857142857143]","[0.003526998005095451,0.9964730019949044,1.1083352743821959e-16,1.1083352743821959e-16]",1
111,JOZE,0.125,0.5,0.0,0.0,"[0.125,0.5,0.0,0.0]","[1.1211564155686368e-22,5.76993084421397e-09,0.9999999942300691,1.1211564155686366e-22]",2
112,Jo��ko,0.02083333333333333,0.8888888888888888,0.6,0.0,"[0.02083333333333333,0.8888888888888888,0.6,0.0]","[1.6389145276035814e-23,6.001875399889944e-08,0.9999999399812459,3.7090497072659184e-19]",2
113,Jure Gros,0.0972222222222222,1.0,0.3076923076923077,0.3076923076923077,"[0.0972222222222222,1.0,0.3076923076923077,0.3076923076923077]","[0.05420516313441341,0.9457948368655865,7.92100531751314e-18,7.92100531751314e-18]",1
114,jure111,0.4166666666666667,1.0,0.16666666666666666,0.8333333333333334,"[0.4166666666666667,1.0,0.16666666666666666,0.8333333333333334]","[0.9999999999995749,4.251879128330904e-13,9.668924588264308e-18,9.668924588264308e-18]",0
115,jurebizjak,0.027777777777777773,1.0,0.5,0.08333333333333333,"[0.027777777777777773,1.0,0.5,0.08333333333333333]","[6.011640104769713e-11,0.9999999969127853,2.354259816425487e-17,3.027098385425059e-09]",1
116,kapitan72,0.06666666666666668,0.625,0.5555555555555556,0.4444444444444444,"[0.06666666666666668,0.625,0.5555555555555556,0.4444444444444444]","[1.6712837657130392e-17,0.9999998771749493,1.6712837657129896e-17,1.2282505079106428e-07]",1
117,Karla,0.08333333333333333,1.0,0.5,0.5,"[0.08333333333333333,1.0,0.5,0.5]","[3.2152439238222153e-08,0.9998939629756406,1.3608277768303872e-17,0.00010600487192012544]",1
118,Karmen Hrvatic,0.06944444444444442,1.0,0.5454545454545454,0.45454545454545453,"[0.06944444444444442,1.0,0.5454545454545454,0.45454545454545453]","[2.6991615386505693e-11,0.5070728189561615,8.6787220472348e-18,0.49292718101684685]",1
119,Katarina ��edlbauer,0.20833333333333331,1.0,0.0,0.0,"[0.20833333333333331,1.0,0.0,0.0]","[4.355007145937998e-08,7.702919442986856e-12,0.9999999564422255,3.9714203544390985e-23]",2
120,kec,0.2777777777777777,0.9166666666666666,0.07692307692307693,0.07692307692307693,"[0.2777777777777777,0.9166666666666666,0.07692307692307693,0.07692307692307693]","[0.9999999969891097,3.0108898600661227e-09,2.169103366924105e-16,2.169103366924105e-16]",0
121,kemi,0.05000000000000001,0.5714285714285714,0.5,0.25,"[0.05000000000000001,0.5714285714285714,0.5,0.25]","[1.3111202509115742e-17,0.9999999999991199,1.3111202509115742e-17,8.79997793774218e-13]",1
122,Kiklop,0.10000000000000002,0.4,0.18181818181818185,0.0,"[0.10000000000000002,0.4,0.18181818181818185,0.0]","[2.290406977520593e-22,1.6833461025747588e-07,0.9999998316653897,2.290406977520593e-22]",2
123,KlaraM,0.027777777777777773,1.0,0.25,0.0,"[0.027777777777777773,1.0,0.25,0.0]","[2.577464067671492e-07,2.4448776130665395e-07,0.9999994977658319,2.827982287397044e-23]",2
124,Kreso,0.16666666666666666,1.0,0.16666666666666666,0.5,"[0.16666666666666666,1.0,0.16666666666666666,0.5]","[0.8338493109173998,0.16615068908260022,7.14954818821986e-18,7.14954818821986e-18]",0
